a port ; разъем, порт;computer;2
a power supply unit (PSU) ; блок питания;computer;2
a solid - state drive (SSD) ; твердотельный накопитель;computer;2
a sound card (audio card) ; звуковая карта;computer;2
a storage device ; запоминающее устройство, накопитель;computer;2
a touch screen ; сенсорный экран;computer;2
air cooling ; воздушное охлаждение;computer;2
an expansion card ; карта (плата) расширения;computer;2
an optical disk drive ; оптический привод;computer;2
an uninterruptible power source (UPS) ; источник бесперебойного питания;computer;2
random - access memory (RAM) ; оперативная память (ОЗУ);computer;2
read - only memory (ROM) ; постоянное запоминающее устройство (ПЗУ);computer;2
removable media ; съемные носители информации;computer;2
water cooling ; водяное охлаждение;computer;2
output devices; устройства вывода;computer;2
a monitor;монитор;computer;2
a printer;принтер;computer;2
a speaker;колонка (акустическая);computer;2
headphones ;наушники;computer;2
input devices; устройства ввода;computer;2
a keyboard;клавиатура;computer;2
a mouse;мышь;computer;2
a scanner;сканер ;computer;2
a digital camera;цифровая камера;computer;2
a joystick;джойстик;computer;2
Software ; программное обеспечение;programing;3
a compiler ; компилятор;programing;3
a database ; база данных;programing;3
a debugger ; отладчик;programing;3
a desktop application/app ; приложение для настольного компьютера;programing;3
a device driver ; драйвер устройства;programing;3
a graphical user interface (GUI) ; графический пользовательский интерфейс;programing;3
a kernel ; ядро (например, операционной системы);programing;3
a mobile application/app ; мобильное приложение;programing;3
a plug - in (plugin) ; плагин, расширение, дополнительный программный модуль;programing;3
a programming language ; язык программирования;programing;3
a query ; запрос;programing;3
a scroll bar ; полоса прокрутки;programing;3
a snapshot ; снимок состояния системы;programing;3
a spreadsheet ; электронная таблица;programing;3
a status bar ; строка состояния;programing;3
a template ; шаблон;programing;3
a version control system (VCS) ; система контроля версий;programing;3
a web application/app ; веб - приложение;programing;3
a word processor ; текстовый процессор;programing;3
a text editor ; текстовый редактор;programing;3
a utility ; утилита (служебная программа);programing;3
acceptance testing ; приемочное тестирование;programing;3
agile methodology ; гибкая методология разработки;programing;3
an algorithm ; алгоритм;programing;3
an array ; массив;programing;3
an encoding ; кодировка;programing;3
an enterprise application ; корпоративное приложение;programing;3
an executable (file) ; исполняемый файл;programing;3
an interpreter ; интерпретатор;programing;3
an operating system (OS) ; операционная система;programing;3
application software ; прикладное программное обеспечение;programing;3
aspect - oriented programming (AOP) ; аспектно - ориентированное программирование;programing;3
binary data ; двоичные данные;programing;3
commercial software ; платное программное обеспечение;programing;3
data ; данные, информация;programing;3
data processing ; обработка данных;programing;3
extreme programming ; экстремальное программирование;programing;3
firmware ; прошивка, микропрограмма;programing;3
freeware ; бесплатное программное обеспечение;programing;3
incremental development ; инкрементная модель разработки;programing;3
integrated development environment (IDE) ; интегрированная среда разработки;programing;3
iterative development ; итеративная модель разработки;programing;3
malicious software (malware) ; вредоносное программное обеспечение;programing;3
object - oriented programming (OOP) ; объектно - ориентированное программирование;programing;3
open source software ; программное обеспечение с открытым исходным кодом;programing;3
prototyping ; создание прототипа, прототипирование;programing;3
rapid application development (RAD) ; быстрая разработка приложений (методология);programing;3
regression testing ; регрессионное тестирование;programing;3
runtime (runtime environment) ; среда выполнения кода;programing;3
server software ; серверное программное обеспечение;programing;3
spiral development ; спиральная модель разработки;programing;3
spyware ; программа - шпион, шпионское программное обеспечение;programing;3
system software ; системное программное обеспечение;programing;3
unit testing ; модульное (блочное, компонентное) тестирование;programing;3
waterfall model ; каскадная модель разработки;programing;3
Internet ; Интернет;net;4
a bookmark ; закладка (в браузере);net;4
a bridge ; мост;net;4
a browser ; браузер, обозреватель;net;4
a domain ; домен;net;4
a firewall ; брандмауэр, межсетевой экран;net;4
a gateway ; шлюз;net;4
a hyperlink ; гиперссылка;net;4
a node ; узел сети;net;4
a packet ; пакет;net;4
a patch cord ; коммутационный кабель, патч - корд;net;4
a router ; маршрутизатор, роутер;net;4
a search engine ; поисковая система;net;4
a subdomain ; поддомен, субдомен;net;4
a switch ; коммутатор, свитч;net;4
a website ; веб - сайт, веб - узел;net;4
a wireless network ; беспроводная сеть;net;4
bandwidth ; пропускная способность (канала передачи данных);net;4
broadband ; широкополосный доступ в Интернет;net;4
client - server architecture ; клиент - серверная архитектура;net;4
cloud computing ; облачные вычисления;net;4
cloud storage ; облачное хранилище данных;net;4
dynamic host configuration protocol (DHCP) ; протокол динамической настройки узла;net;4
domain name system (DNS) ; система доменных имен;net;4
instant messaging (IM) ; обмен мгновенными сообщениями;net;4
Internet service provider (ISP) ; интернет - провайдер;net;4
local area network (LAN) ; локальная сеть;net;4
latency ; задержка, период ожидания;net;4
media access control - (MAC) address  ; аппаратный адрес, MAC - адрес;net;4
peer-to-peer (P2P) ; одноранговая сеть, пиринговая сеть;net;4
twisted pair ; витая пара;net;4
voice over IP (VoIP) ; голосовая связь через Интернет, IP - телефония;net;4
wide area network (WAN) ; глобальная сеть, широкомасштабная сеть ;net;4
